"","clseusa_f","ambornin_f","amcit_f","amlived_f","amenglsh_f","amchrstn_f","amgovt_f","amfeel_f","amcitizn_f","amshamed_f","belikeus_f","ambetter_f","ifwrong_f","proudsss_f","proudgrp_f","proudpol_f","prouddem_f","proudeco_f","proudspt_f","proudart_f","proudhis_f","proudmil_f","proudsci_f","clseusa_n","ambornin_n","amcit_n","amlived_n","amenglsh_n","amchrstn_n","amgovt_n","amfeel_n","amcitizn_n","amshamed_n","belikeus_n","ambetter_n","ifwrong_n","proudsss_n","proudgrp_n","proudpol_n","prouddem_n","proudeco_n","proudspt_n","proudart_n","proudhis_n","proudmil_n","proudsci_n","sex_f","age_f","race_f","educ_f","born_usa_f","realinc2004_f","party_f","religstr_f","reltrad_f","region_f","age_n","educ_n","realinc2004_n","lnrealinc2004_n","wgt","id"
"41","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Not very much","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly",3,2,4,3,3,3,4,4,4,2,3,4,2,3,4,3,4,3,3,3,4,4,3,"M","55-70 yo","White","< High school","Not born in this country","> 30k","Democrat","Not strong","Catholic","Northeast",60,9,57119.48,10.9529004933306,0.5,112
"42","Somewhat / fairly","Not very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not at all","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much",3,2,4,4,4,4,3,4,3,3,3,4,3,3,2,1,3,2,4,3,4,3,4,"F",">70 yo","White","High school or some college","Not born in this country","10-20k","Democrat","Strong","Catholic","Northeast",74,14,22068.89,10.0019242034685,0.5,113
"43","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Not at all","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly",3,4,4,4,3,1,4,2,3,3,2,3,2,2,2,3,3,3,3,3,4,4,3,"F","25-40 yo","White","Advanced degree","Born in this country","> 30k","Independent","Strong","Catholic","Northeast",34,18,220907.52221336,12.3054994414014,0.99,116
"44","Very much","Very much","Very much","Very much","Very much","Not very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much",4,4,4,4,4,2,4,4,4,4,4,3,2,3,2,2,3,3,3,3,3,4,4,"M","55-70 yo","White","Advanced degree","Born in this country","> 30k","Strong Republican","Strong","Catholic","Northeast",60,20,220907.52221336,12.3054994414014,0.99,117
"45","Very much","Very much","Very much","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Very much","Very much","Not very much","Very much","Somewhat / fairly","Not very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much",4,4,4,3,4,2,3,4,4,2,3,3,2,2,2,3,3,4,4,3,4,4,4,"M","25-40 yo","White","Advanced degree","Born in this country","> 30k","Strong Republican","Strong","Catholic","Northeast",35,20,220907.52221336,12.3054994414014,0.99,122
"46","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Not very much","Not very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly",4,3,3,3,4,2,3,4,4,3,3,3,2,2,2,2,3,2,2,3,4,3,3,"F","40-55 yo","White","High school or some college","Born in this country","20-30k","Democrat","Not strong","Catholic","Northeast",47,12,46734.12,10.7522297978684,1.98,125
"47","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much",3,4,4,4,4,4,4,4,4,2,3,3,2,4,4,3,4,4,4,4,4,4,4,"M","55-70 yo","White","High school or some college","Born in this country","20-30k","Strong Republican","Not strong","Catholic","Northeast",62,12,46734.12,10.7522297978684,0.99,129
"48","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much",3,4,4,4,4,4,4,4,4,3,3,3,2,2,3,4,4,4,4,4,3,4,4,"F","25-40 yo","White","Advanced degree","Born in this country","> 30k","Strong Democrat","Strong","Catholic","Northeast",32,18,85679.22,11.3583656014387,0.99,136
"49","Very much","Somewhat / fairly","Very much","Very much","Very much","Not very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",4,3,4,4,4,2,4,3,4,3,3,4,3,3,2,3,4,3,3,3,4,4,4,"M","40-55 yo","White","High school or some college","Not born in this country","> 30k","Democrat","Strong","No religion","Northeast",50,14,57119.48,10.9529004933306,0.5,139
"50","Not very much","Very much","Very much","Very much","Very much","Not at all","Very much","Very much","Very much","Not very much","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly",2,4,4,4,4,1,4,4,4,2,4,3,2,3,4,3,3,3,4,4,4,4,3,"M","25-40 yo","White","High school or some college","Born in this country","> 30k","Democrat","Strong","Catholic","Northeast",28,14,103853.6,11.5507374940862,4.95,149
"51","Very much","Not very much","Not at all","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Not very much","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not at all","Very much","Very much","Very much","Very much","Somewhat / fairly",4,2,1,4,4,4,4,4,4,2,2,3,4,2,3,3,3,1,4,4,4,4,3,"M","55-70 yo","Hispanic","< High school","Born in this country","> 30k","Republican","Strong","Catholic","Northeast",61,9,57119.48,10.9529004933306,0.99,151
"52","Very much","Very much","Very much","Very much","Somewhat / fairly","Not very much","Very much","Very much","Very much","Not at all","Not very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much",4,4,4,4,3,2,4,4,4,1,2,4,3,3,3,3,3,3,4,4,4,4,4,"F","25-40 yo","White","High school or some college","Born in this country","20-30k","Republican","Strong","Catholic","Northeast",35,12,46734.12,10.7522297978684,0.5,152
"53","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",4,3,4,3,3,2,4,4,4,2,3,4,3,4,4,4,4,4,4,4,4,4,4,"M","25-40 yo","White","Bachelor","Born in this country","> 30k","Republican","Strong","Catholic","Northeast",32,16,85679.22,11.3583656014387,1.98,155
"54","Very much","Not very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much",4,2,4,4,4,4,4,4,4,2,3,4,3,3,3,3,3,3,4,4,4,4,4,"M","55-70 yo","White","High school or some college","Born in this country","> 30k","Independent","Not strong","Catholic","Northeast",58,12,220907.52221336,12.3054994414014,2.97,156
"55","Very much","Not at all","Very much","Not very much","Very much","Very much","Very much","Very much","Very much","Not at all","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much",4,1,4,2,4,4,4,4,4,1,4,4,3,3,4,4,3,3,4,3,4,4,4,"M","25-40 yo","White","Advanced degree","Born in this country","> 30k","Strong Republican","Strong","Black Protestant","Northeast",33,19,103853.6,11.5507374940862,1.98,159
"56","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Not very much","Very much","Very much","Not at all","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",4,3,4,3,4,3,4,4,4,2,4,4,1,3,4,3,4,4,3,3,4,4,4,"M","55-70 yo","White","High school or some college","Born in this country","> 30k","Strong Republican","Strong","Black Protestant","Northeast",58,12,57119.48,10.9529004933306,1.49,160
"57","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much",3,4,4,4,4,3,4,4,4,3,3,3,2,2,3,4,4,4,4,4,3,4,4,"M","25-40 yo","Hispanic","Bachelor","Born in this country","> 30k","Democrat","Not strong","Catholic","Pacific",33,16,103853.6,11.5507374940862,0.95,163
"58","Not very much","Not very much","Somewhat / fairly","Very much","Very much","Not at all","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Somewhat / fairly",2,2,3,4,4,1,4,4,3,3,2,3,2,2,3,4,3,2,3,2,3,4,3,"M","25-40 yo","Hispanic","< High school","Born in this country","> 30k","Republican","Strong","Evangelical Protestant","Pacific",25,11,103853.6,11.5507374940862,1.9,166
"59","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much",4,3,4,4,3,4,4,3,3,4,2,3,3,3,3,3,3,4,4,4,3,3,4,"M","55-70 yo","White","Bachelor","Born in this country","> 30k","Republican","Not strong","Black Protestant","Pacific",63,16,70101.18,11.1576949059766,0.48,169
"60","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",3,4,4,4,4,4,4,4,4,2,3,4,4,3,3,4,4,4,4,4,4,4,4,"M","55-70 yo","White","Bachelor","Born in this country","> 30k","Strong Republican","Strong","Evangelical Protestant","Pacific",67,16,220907.52221336,12.3054994414014,0.95,171
"61","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly",3,3,3,3,3,3,3,3,4,2,3,4,3,3,3,3,3,3,3,3,4,3,3,"F","25-40 yo","White","Bachelor","Born in this country","> 30k","Republican","Strong","Evangelical Protestant","Pacific",31,16,220907.52221336,12.3054994414014,0.95,176
"62","Very much","Very much","Very much","Somewhat / fairly","Very much","Not very much","Very much","Very much","Very much","Not at all","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much",4,4,4,3,4,2,4,4,4,1,4,4,3,3,3,3,4,4,3,4,3,4,4,"M",">70 yo","White","Advanced degree","Born in this country","> 30k","Strong Republican","Strong","No religion","Pacific",74,18,85679.22,11.3583656014387,0.95,177
"63","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Not at all","Not at all","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",4,3,4,4,4,3,4,4,4,1,1,3,3,2,4,4,4,4,3,3,4,4,4,"M","55-70 yo","White","Advanced degree","Born in this country","> 30k","Strong Republican","Not strong","Catholic","Pacific",62,17,220907.52221336,12.3054994414014,0.95,178
"64","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly",3,4,4,4,4,4,4,4,4,3,3,3,2,2,3,3,3,3,3,3,4,4,3,"F","25-40 yo","Black","High school or some college","Born in this country","10-20k","Democrat","Not strong","Evangelical Protestant","Pacific",38,13,19472.55,9.87676106051452,0.95,181
"65","Very much","Very much","Very much","Not very much","Very much","Not very much","Very much","Very much","Very much","Not very much","Very much","Very much","Very much","Not very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly",4,4,4,2,4,2,4,4,4,2,4,4,4,2,4,3,3,4,3,3,4,4,3,"M","25-40 yo","Hispanic","< High school","Not born in this country","20-30k","Democrat","Strong","Other religion","Pacific",35,6,38945.1,10.5699082410745,0.95,183
"66","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Very much","Not very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly",4,4,4,4,4,3,4,4,4,4,3,4,3,2,2,3,4,2,4,3,4,4,3,"F","55-70 yo","Hispanic","High school or some college","Not born in this country","< 10k","Strong Democrat","Strong","Evangelical Protestant","Pacific",59,13,7789.02,8.96047032864037,0.48,184
"67","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not at all","Not at all","Very much","Somewhat / fairly","Not very much","Not at all","Not very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Not at all",3,4,4,4,4,4,4,4,4,1,1,4,3,2,1,2,4,3,4,4,4,3,1,"M",">70 yo","White","High school or some college","Born in this country","< 10k","Strong Republican","Strong","Black Protestant","Pacific",76,14,7789.02,8.96047032864037,0.95,185
"68","Very much","Very much","Very much","Very much","Very much","Not very much","Very much","Not at all","Very much","Not at all","Not very much","Very much","Not very much","Not very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,2,4,1,4,1,2,4,2,2,4,4,4,4,4,4,4,4,4,"M","40-55 yo","White","High school or some college","Born in this country","> 30k","Strong Republican","Strong","Other religion","Pacific",47,15,70101.18,11.1576949059766,0.95,193
"69","Somewhat / fairly","Not at all","Somewhat / fairly","Not very much","Very much","Not very much","Very much","Not very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",3,1,3,2,4,2,4,2,4,3,3,3,2,2,2,3,3,3,2,2,3,3,3,"M","25-40 yo","White","High school or some college","Not born in this country","< 10k","Independent","Strong","No religion","Pacific",30,12,11683.53,9.36593543674853,0.48,198
"70","Very much","Not very much","Very much","Not very much","Very much","Not at all","Very much","Very much","Very much","Not very much","Not very much","Very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much",4,2,4,2,4,1,4,4,4,2,2,4,2,2,3,3,3,4,4,3,4,4,4,"M","< 25 yo","White","High school or some college","Born in this country","> 30k","Strong Republican","Strong","No religion","Pacific",18,12,220907.52221336,12.3054994414014,1.43,202
"71","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Not at all","Not very much","Not very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not at all","Somewhat / fairly",3,4,4,4,4,4,3,4,4,3,4,4,3,1,2,2,2,2,3,3,3,1,3,"F","25-40 yo","Hispanic","High school or some college","Born in this country","> 30k","Democrat","Not strong","Catholic","Pacific",38,15,57119.48,10.9529004933306,0.95,204
"72","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly",3,2,4,3,4,3,4,3,3,3,3,3,2,2,3,3,3,4,4,4,4,4,3,"M","25-40 yo","White","High school or some college","Born in this country","> 30k","Republican","Strong","Other religion","Pacific",28,14,70101.18,11.1576949059766,1.9,206
"73","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Not very much","Very much","Very much","Very much","Very much","Very much",4,3,4,4,4,3,4,4,4,3,4,4,3,3,3,4,4,2,4,4,4,4,4,"M","< 25 yo","Hispanic","< High school","Not born in this country","< 10k","Democrat","Strong","No religion","Pacific",24,11,16876.21,9.73366021687385,0.95,207
"74","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Not at all","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much",3,4,4,4,4,4,3,3,4,3,3,4,3,3,1,2,3,3,4,3,3,4,4,"M","< 25 yo","Hispanic","High school or some college","Born in this country","10-20k","Strong Democrat","Not strong","Catholic","Pacific",24,15,33752.42,10.4268073974338,1.9,210
"75","Somewhat / fairly","Not very much","Not very much","Not very much","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",3,2,2,2,3,2,4,3,4,3,2,3,2,2,2,3,3,3,3,3,3,3,3,"M","25-40 yo","Other race","High school or some college","Born in this country","> 30k","Democrat","Strong","Black Protestant","Pacific",28,14,57119.48,10.9529004933306,1.43,211
"76","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",3,4,4,4,4,4,4,4,4,2,3,4,4,2,3,3,3,3,3,3,4,4,4,"F","25-40 yo","Hispanic","High school or some college","Born in this country","20-30k","Independent","Strong","Catholic","Pacific",30,14,46734.12,10.7522297978684,1.9,214
"77","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not at all","Very much","Not very much","Very much","Very much","Not very much","Somewhat / fairly","Not at all","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Not very much","Very much","Very much","Not very much","Very much",3,2,3,3,3,1,4,2,4,4,2,3,1,2,3,2,3,2,2,4,4,2,4,"F","25-40 yo","White","Bachelor","Born in this country","20-30k","Democrat","Strong","No religion","Pacific",34,16,46734.12,10.7522297978684,1.9,218
