"","clseusa_f","clsetown_f","clsestat_f","clsenoam_f","ambornin_f","amcit_f","amlived_f","amenglsh_f","amchrstn_f","amgovt_f","amfeel_f","amancstr_f","amcitizn_f","amshamed_f","belikeus_f","ambetter_f","ifwrong_f","amsports_f","lessprd_f","proudsss_f","proudgrp_f","proudpol_f","prouddem_f","proudeco_f","proudspt_f","proudart_f","proudhis_f","proudmil_f","proudsci_f","clseusa_n","clsetown_n","clsestat_n","clsenoam_n","ambornin_n","amcit_n","amlived_n","amenglsh_n","amchrstn_n","amgovt_n","amfeel_n","amancstr_n","amcitizn_n","amshamed_n","belikeus_n","ambetter_n","ifwrong_n","amsports_n","lessprd_n","proudsss_n","proudgrp_n","proudpol_n","prouddem_n","proudeco_n","proudspt_n","proudart_n","proudhis_n","proudmil_n","proudsci_n","sex_f","age_f","race_f","educ_f","born_usa_f","realinc2004_f","party_f","religstr_f","reltrad_f","region_f","age_n","educ_n","realinc2004_n","lnrealinc2004_n","wgt","id"
"31","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Can't choose","Somewhat / fairly","Not very much","Somewhat / fairly","Can't choose","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Not very much","Very much",1,1,1,-1,2,2,2,2,1,1,1,1,1,1,0,1,-1,1,0,1,-1,1,1,1,2,1,-1,-1,2,"F","25-40 yo","Black","Advanced degree","Born in this country","20-30k","Democrat","Strong","Mainline Protestant","Northeast",33,17,46734.12,10.7522297978684,0.5,72
"32","Not very much","Not very much","Not very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Not at all","Can't choose","Somewhat / fairly","Not at all","Not at all","Can't choose","Somewhat / fairly","Can't choose","Somewhat / fairly","Somewhat / fairly","Not at all","Not very much","Somewhat / fairly",-1,-1,-1,-1,1,2,1,2,2,1,1,1,1,2,-1,1,-2,0,1,-2,-2,0,1,0,1,1,-2,-1,1,"F","40-55 yo","Black","Bachelor","Born in this country","10-20k","Democrat","Not strong","Other religion","Northeast",41,16,24665.23,10.1131498385787,0.5,75
"33","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Not very much","Not very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much",2,2,2,2,2,2,2,2,2,2,2,1,2,-1,1,2,2,2,2,-1,-1,2,2,2,2,1,2,2,2,"F","55-70 yo","Hispanic","< High school","Not born in this country","< 10k","Democrat","Not strong","Catholic","Northeast",57,10,14279.87,9.56660613221068,0.5,79
"34","Very much","Not very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Can't choose","Can't choose","Somewhat / fairly","Can't choose","Can't choose","Can't choose","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much",2,-1,1,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,2,2,1,1,1,2,2,2,2,2,"F","55-70 yo","White","Advanced degree","Born in this country","10-20k","Independent","Strong","Catholic","Northeast",66,18,33752.42,10.4268073974338,0.5,80
"35","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much","Not at all","Very much","Very much","Not at all","Somewhat / fairly","Can't choose","Can't choose","Somewhat / fairly","Can't choose","Very much","Can't choose","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly",1,-1,1,1,-1,2,1,2,-2,2,2,-2,1,0,0,1,0,2,0,1,2,1,2,1,2,2,2,2,1,"F","25-40 yo","Hispanic","Advanced degree","Not born in this country","> 30k","Republican","Strong","Catholic","Northeast",30,17,85679.22,11.3583656014387,0.99,83
"36","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Not very much","Very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-1,2,-1,1,2,1,1,2,2,1,2,2,2,"M","40-55 yo","White","Bachelor","Born in this country","> 30k","Republican","Not strong","Catholic","Northeast",48,16,220907.52221336,12.3054994414014,1.98,84
"37","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Can't choose","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much",2,2,2,2,-1,1,-1,1,-1,1,1,-1,-1,1,0,1,-1,1,1,-1,-1,1,2,2,2,1,1,1,2,"M","25-40 yo","Other race","High school or some college","Not born in this country","> 30k","Democrat","Strong","Other religion","Northeast",33,15,85679.22,11.3583656014387,0.99,89
"38","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Not very much","Can't choose","Very much","Somewhat / fairly","Can't choose","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Not very much","Somewhat / fairly","Very much","Very much","Very much",2,2,2,2,2,2,2,2,2,2,2,1,2,-1,0,2,1,0,-1,1,1,2,2,2,-1,1,2,2,2,"F","55-70 yo","White","High school or some college","Born in this country","10-20k","Republican","Strong","Black Protestant","Northeast",69,12,33752.42,10.4268073974338,0.99,90
"39","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Not very much","Can't choose","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Can't choose","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much",1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,0,1,1,1,-1,1,0,1,1,1,1,1,1,1,1,1,2,"M","25-40 yo","Other race","High school or some college","Not born in this country","> 30k","Independent","Strong","Other religion","Northeast",31,15,85679.22,11.3583656014387,0.99,92
"40","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Not at all","Somewhat / fairly","Not very much","Not very much","Very much","Not very much","Can't choose","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Not very much","Not very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much",1,2,1,1,2,1,2,2,-2,1,-1,-1,2,-1,0,2,2,1,1,2,2,-1,-1,2,2,1,2,2,2,"M","25-40 yo","Other race","High school or some college","Not born in this country","> 30k","Democrat","Strong","Other religion","Northeast",31,14,220907.52221336,12.3054994414014,0.99,93
"41","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Not at all","Somewhat / fairly","Very much","Can't choose","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much",1,1,-1,1,2,2,2,2,1,2,2,1,2,-2,1,2,0,2,-1,1,1,1,2,2,2,2,2,2,2,"F","40-55 yo","White","High school or some college","Born in this country","> 30k","Republican","Strong","Catholic","Northeast",45,13,220907.52221336,12.3054994414014,0.99,94
"42","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Can't choose","Very much","Somewhat / fairly","Can't choose","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Can't choose","Somewhat / fairly","Somewhat / fairly","Very much","Very much",1,-1,-1,1,2,2,2,2,1,1,2,2,2,1,0,2,1,0,2,2,1,1,1,2,0,1,1,2,2,"F",">70 yo","White","High school or some college","Born in this country","> 30k","Republican","Not strong","Catholic","Northeast",79,12,70101.18,10.9529004933306,0.99,95
"43","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Not at all","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Very much","Not very much","Not very much","Not very much","Can't choose","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Very much",1,-1,1,1,1,1,-1,1,-2,1,1,-1,2,2,-1,-1,-1,0,1,1,-1,-1,1,-1,1,1,-1,1,2,"M","55-70 yo","White","High school or some college","Born in this country","> 30k","Democrat","Strong","Black Protestant","Northeast",63,12,70101.18,11.1576949059766,0.99,99
"44","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Very much","Can't choose","Can't choose","Very much","Can't choose","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly",2,1,1,-1,1,2,1,2,1,1,2,-1,2,0,0,2,0,2,-1,1,1,1,1,1,2,2,1,2,1,"F","25-40 yo","White","Bachelor","Born in this country","> 30k","Republican","Strong","Catholic","Northeast",37,16,220907.52221336,12.3054994414014,0.99,103
"45","Somewhat / fairly","Not very much","Not very much","Not very much","Not at all","Very much","Not very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Not at all","Somewhat / fairly","Not very much","Very much","Can't choose","Not very much","Not very much","Not very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much",1,-1,-1,-1,-2,2,-1,2,-1,1,1,-1,2,1,-2,1,-1,2,0,-1,-1,-1,1,-1,-1,1,1,2,-1,"F","40-55 yo","White","Advanced degree","Born in this country","> 30k","Democrat","Strong","Catholic","Northeast",50,17,220907.52221336,12.3054994414014,0.99,106
"46","Not at all","Somewhat / fairly","Not at all","Not very much","Very much","Very much","Not very much","Very much","Not very much","Very much","Not very much","Not at all","Not very much","Somewhat / fairly","Very much","Very much","Can't choose","Somewhat / fairly","Can't choose","Not very much","Not at all","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly",-2,1,-2,-1,2,2,-1,2,-1,2,-1,-2,-1,1,2,2,0,1,0,-1,-2,1,-1,1,1,1,1,2,1,"F","55-70 yo","Hispanic","High school or some college","Not born in this country","20-30k","Republican","Strong","Catholic","Northeast",57,15,46734.12,10.7522297978684,0.99,110
"47","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not at all","Not very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Not very much","Very much","Can't choose","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly",1,1,1,-2,-1,2,1,1,1,2,2,-1,2,0,1,2,-1,1,-1,1,2,1,2,1,1,1,2,2,1,"M","55-70 yo","White","< High school","Not born in this country","> 30k","Democrat","Not strong","Catholic","Northeast",60,9,57119.48,10.9529004933306,0.5,112
"48","Somewhat / fairly","Not at all","Not very much","Not very much","Not very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Not at all","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not at all","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much",1,-2,-1,-1,-1,2,2,2,2,1,2,-2,1,1,1,2,1,2,1,1,-1,-2,1,-1,2,1,2,1,2,"F",">70 yo","White","High school or some college","Not born in this country","10-20k","Democrat","Strong","Catholic","Northeast",74,14,22068.89,10.0019242034685,0.5,113
"49","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Very much","Very much","Somewhat / fairly","Not at all","Very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Can't choose","Not very much","Somewhat / fairly","Can't choose","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly",1,1,1,-1,2,2,2,1,-2,2,-1,-1,1,1,-1,0,-1,1,0,-1,-1,1,1,1,1,1,2,2,1,"F","25-40 yo","White","Advanced degree","Born in this country","> 30k","Independent","Strong","Catholic","Northeast",34,18,220907.52221336,12.3054994414014,0.99,116
"50","Very much","Somewhat / fairly","Not very much","Very much","Very much","Very much","Very much","Very much","Not very much","Very much","Very much","Not very much","Very much","Very much","Very much","Somewhat / fairly","Can't choose","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much",2,1,-1,2,2,2,2,2,-1,2,2,-1,2,2,2,1,0,2,1,1,-1,-1,1,1,1,1,1,2,2,"M","55-70 yo","White","Advanced degree","Born in this country","> 30k","Republican","Strong","Catholic","Northeast",60,20,220907.52221336,12.3054994414014,0.99,117
"51","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Very much","Very much","Very much","Not very much","Can't choose","Somewhat / fairly","Can't choose","Somewhat / fairly","Not at all","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much",2,1,2,1,2,2,1,2,-1,1,2,2,2,-1,0,1,0,1,-2,-1,-1,1,1,2,2,1,2,2,2,"M","25-40 yo","White","Advanced degree","Born in this country","> 30k","Republican","Strong","Catholic","Northeast",35,20,220907.52221336,12.3054994414014,0.99,122
"52","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Can't choose","Somewhat / fairly","Somewhat / fairly","Not very much","Can't choose","Somewhat / fairly","Not very much","Not very much","Not very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly",2,1,1,1,1,1,1,2,-1,1,2,1,2,0,1,1,-1,0,1,-1,-1,-1,1,-1,-1,1,2,1,1,"F","40-55 yo","White","High school or some college","Born in this country","20-30k","Democrat","Not strong","Catholic","Northeast",47,12,46734.12,10.7522297978684,1.98,125
"53","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much",1,1,1,1,2,2,2,2,2,2,2,2,2,-1,1,1,-1,1,-1,2,2,1,2,2,2,2,2,2,2,"M","55-70 yo","White","High school or some college","Born in this country","20-30k","Republican","Not strong","Catholic","Northeast",62,12,46734.12,10.7522297978684,0.99,129
"54","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Very much","Somewhat / fairly","Not at all","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,2,1,-2,1,1,1,1,1,1,1,2,1,"M","55-70 yo","White","High school or some college","Born in this country","> 30k","Republican","Strong","Catholic","Northeast",55,14,85679.22,11.3583656014387,3.96,135
"55","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Very much","Can't choose","Can't choose","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much",1,1,1,1,2,2,2,2,2,2,2,-1,2,0,0,1,-1,1,1,-1,1,2,2,2,2,2,1,2,2,"F","25-40 yo","White","Advanced degree","Born in this country","> 30k","Democrat","Strong","Catholic","Northeast",32,18,85679.22,11.3583656014387,0.99,136
"56","Very much","Not at all","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Not very much","Very much","Somewhat / fairly","Not very much","Can't choose","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Can't choose","Can't choose","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Can't choose","Very much","Very much",2,-2,1,2,1,2,2,2,-1,2,1,-1,0,1,1,2,1,0,0,1,-1,1,2,1,1,1,0,2,2,"M","40-55 yo","White","High school or some college","Not born in this country","> 30k","Democrat","Strong","No religion","Northeast",50,14,57119.48,10.9529004933306,0.5,139
"57","Not very much","Not very much","Not at all","Not very much","Very much","Very much","Very much","Very much","Not at all","Very much","Very much","Not very much","Very much","Not very much","Very much","Somewhat / fairly","Not very much","Very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly",-1,-1,-2,-1,2,2,2,2,-2,2,2,-1,2,-1,2,1,-1,2,-1,1,2,1,1,1,2,2,2,2,1,"M","25-40 yo","White","High school or some college","Born in this country","> 30k","Democrat","Strong","Catholic","Northeast",28,14,103853.6,11.5507374940862,4.95,149
"58","Very much","Somewhat / fairly","Somewhat / fairly","Not at all","Not very much","Not at all","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Not very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not at all","Very much","Very much","Very much","Very much","Somewhat / fairly",2,1,1,-2,-1,-2,2,2,2,2,2,2,2,-1,-1,1,2,2,1,-1,1,1,1,-2,2,2,2,2,1,"M","55-70 yo","Hispanic","< High school","Born in this country","> 30k","Republican","Strong","Catholic","Northeast",61,9,57119.48,10.9529004933306,0.99,151
"59","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Not very much","Very much","Very much","Very much","Very much","Not at all","Not very much","Can't choose","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much",2,1,2,2,2,2,2,1,-1,2,2,2,2,-2,-1,0,1,1,-1,1,1,1,1,1,2,2,2,2,2,"F","25-40 yo","White","High school or some college","Born in this country","20-30k","Republican","Strong","Catholic","Northeast",35,12,46734.12,10.7522297978684,0.5,152
"60","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Very much","Not very much","Very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",2,-1,1,1,1,2,1,1,-1,2,2,-1,2,-1,1,2,1,1,-1,2,2,2,2,2,2,2,2,2,2,"M","25-40 yo","White","Bachelor","Born in this country","> 30k","Republican","Strong","Catholic","Northeast",32,16,85679.22,11.3583656014387,1.98,155
"61","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much",2,1,1,-1,-1,2,2,2,2,2,2,-1,2,-1,1,2,1,1,-1,1,1,1,1,1,2,2,2,2,2,"M","55-70 yo","White","High school or some college","Born in this country","> 30k","Independent","Not strong","Catholic","Northeast",58,12,220907.52221336,12.3054994414014,2.97,156
"62","Very much","Not very much","Not very much","Very much","Not at all","Very much","Not very much","Very much","Very much","Very much","Very much","Not very much","Very much","Not at all","Very much","Very much","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much",2,-1,-1,2,-2,2,-1,2,2,2,2,-1,2,-2,2,2,1,2,-1,1,2,2,1,1,2,1,2,2,2,"M","25-40 yo","White","Advanced degree","Born in this country","> 30k","Republican","Strong","Black Protestant","Northeast",33,19,103853.6,11.5507374940862,1.98,159
"63","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Can't choose","Very much","Very much","Not at all","Very much","Not at all","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",2,2,1,2,1,2,1,2,1,2,2,2,2,0,2,2,-2,2,-2,1,2,1,2,2,1,1,2,2,2,"M","55-70 yo","White","High school or some college","Born in this country","> 30k","Republican","Strong","Black Protestant","Northeast",58,12,57119.48,10.9529004933306,1.49,160
"64","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Not very much","Very much","Can't choose","Can't choose","Somewhat / fairly","Can't choose","Very much","Not very much","Not very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much",1,1,1,1,2,2,2,2,1,2,2,-1,2,0,0,1,0,2,-1,-1,1,2,2,2,2,2,1,2,2,"M","25-40 yo","Hispanic","Bachelor","Born in this country","> 30k","Democrat","Not strong","Catholic","Pacific",33,16,103853.6,11.5507374940862,0.95,163
